,事件名（英文）,事件名（中文）,上报逻辑,属性名（英文）,属性名（中文）,属性值类型,属性名的对应值及说明,备注,进版版本号,无痕模式是否上报,备注,,,,,,
,content_noenter,信息流_退出信息流进入态,"信息流状态切换事件
进入态退出到未进入态时上报；
信息流进入态情况下点击底部""主页""按钮退出信息流进入态，处于“主页”页面时上报",common key,公共属性,,公参中的属性均上报事件发生时的值，即在进入态时的值，如从推荐频道点首页回到未进入态时公参page应为feed_info_rec,,15.4,,,,,,,,
,,,,content_key,信息流通用属性中流的属性,,信息流通用属性中流的属性均上报事件发生时的值，即在进入态的值，如从推荐频道点首页回到未进入态时，feed_status应为true,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_first_swipe_down,信息流_首屏第一次滑动,"只记第一次滑动，发生的场景包括：
1. 未进入态上滑进入进入态时上报。
2.进入app默认为信息流进入态的情况下，上滑时上报。（包含进入态下的资讯tab、视频tab以及视频tab改版前的频道列表页）
如果两种场景都有的话，则只上报第一次滑动
客户端怎么界定滑动：无论滑动大小，只要页面发生变化，都算滑动",common key,公共属性,,,,15.4,,,,,,,,
,,,,content_key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,max_position,滑动后最大内容曝光位置,number,产生第一次滑动操作的行为后，记录最大内容曝光位置,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_viewmore_click,信息流_图文详情页_展开全文_点击,信息流图文详情页情况下，点击展开全文时上报,common key,公共属性,,,,15.4,,,,,,,,
,,统计图文详情页的点击率，优化展开全文的按钮逻辑，为提升图文无限流渗透率做准备,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_editchannel_click,信息流_频道编辑_点击,点击编辑频道按钮时上报,common key,公共属性,,,,15.4,,,,,,,,
,,,,content key,信息流通用属性中流的属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_enter_comment,信息流_评论区_进入,"评论区曝光时上报
1. 详情页下划进入评论区
2. 详情页点击评论icon进入评论区（图文、短视频、小视频详情页）
3. 短视频沉浸式进入详情页直接展示评论区
4. 点击评论框到评论区（需评论区真实曝光给用户时上报）",common key,公共属性,,,,15.6,,,,,,,,
,,,,content key,信息流所有通用属性,,信息流通用属性，跟随进入评论对应的内容的属性,,,,,,,,,,
,,,,enter_comment_way,进入评论区的方式,string,"slide：详情页下划进入评论区
icon：详情页点击评论icon进入评论区(图文、短视频、小视频)
default：短视频沉浸式进入详情页直接展示评论区
click: 点击评论框到评论区（需评论区真实曝光给用户时上报）",,,,,,,,,,
,content_exit_comment,信息流_评论区_退出,评论区消失时上报,common key,公共属性,,,19.2版本新加的事件,,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,duration,评论区停留时长,,,,,,,,,,,,
,content_topon_auto_swipe,信息流_置顶新闻自动吸顶,触发置顶新闻自动吸顶动作时上报,common key,公共属性,,,,15.7,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,swipe_case,置顶新闻自动吸顶的场景,string,"content_enter：首屏非进入态-->进入态时上报
back_news：从图文详情页返回首页，自动吸顶时上报
back_video：从视频详情页返回首页，自动吸顶时上报
back_ads：从广告详情页返回首页，自动吸顶时上报
back_pull：从插卡新样式返回首页，自动吸顶时上报",,,,,,,,,,
,,,,,,,,,,,,,,,,,
热榜,hot_list_item_expose,热榜_单条内容_曝光,热榜tab，热榜卡片中每条热榜内容曝光时上报,​common key,公共属性,,,,15.7,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,card_item_position,模块内位置,number,"在榜单内容刷新的情况下记录每条内容在热榜卡片的第几个
0、1、2、3......",,,,,,,,,,
,,,,item_title,item标题,string,展示的标题,,,,,,,,,,
,,,,item_mark,内容标识,string,"爆
热
火
新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
热榜,hot_list_item_click,热榜_单条内容_点击,热榜tab，热榜卡片中单条热榜内容发生点击时上报,​common key,公共属性,,,,15.7,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,card_item_position,模块内位置,number,"在榜单内容刷新的情况下记录每条内容在热榜卡片的第几个
0、1、2、3......",,,,,,,,,,
,,,,item_title,item标题,string,点击的标题,,,,,,,,,,
,,,,item_mark,内容标识,string,"爆
热
火
新",,,,,,,,,,
,,,,,,,,,,,,,,,,,
热榜,hot_list_popup_expose,热榜_卡片弹窗_曝光,推荐tab，热榜卡片弹窗曝光时上报,​common key,公共属性,,,,15.7,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,hot_list_card_type,卡片类型,string,"1：热榜卡片_自动推送
0：热榜卡片_运营",,,,,,,,,,
,,,,item_title,item标题,string,展示的标题,,,,,,,,,,
,,,,,,,,,,,,,,,,,
热榜,hot_list_popup_click,热榜_卡片弹窗_点击,推荐tab，热榜卡片弹窗点击时上报,​common key,公共属性,,,,15.7,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,hot_list_card_type,卡片类型,string,"1：热榜卡片_自动推送
0：热榜卡片_运营",,,,,,,,,,
,,,,item_title,item标题,string,点击的标题,,,,,,,,,,
,button_click_minivideo,小视频“更多”按钮点击,点击“更多”后弹出上报，点击几次上报几次,common key,公共属性,,,【17.2】小视频专项-支持倍速播放 ,,,,,,,,,
,,,,button_type,按钮类型,string,"no_interest  //不感兴趣
report //投诉举报
press_2.0X  //长按2.0X
0.5X  //倍速按钮0.5X
1.0X  //倍速按钮1.0X
1.5X  //倍速按钮1.5X
2.0X  //倍速按钮2.0X",,,,,,,,,,
浮窗,newsfloat_backbutton_click,图文详情页浮窗_返回按钮_点击,图文详情页浮窗样式，包括浮窗态+展开态，点击返回按钮时上报,​common key,公共属性,,,,17.9,是,,,,,,,
,,,,back_type,"topbutton：浮窗顶部返回按钮
floatball：悬浮球
mask：顶部蒙层
back：左滑back或物理键返回",,,,,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,事件名（英文）,事件名（中文）,上报逻辑,属性名（英文）,属性名（中文）,属性值类型,属性名的对应值及说明,进版版本号,无痕模式是否上报,,,,,,,,
classification,"event name
（English）","event name
（Chinese）",report logic,"key name
（English）","key name
（Chinese）",key value type,key value & other notes,app_ver,,,,,,,,,
消息通知弹窗,notification_popup_expose,消息通知弹窗_弹窗_曝光,消息通知开启引导弹窗曝光时上报,​common key,公共属性,,,17.9,是,,,,,,,,
,,,,type,弹窗类型,string,"feedflow：弹窗样式1
authorfollow：弹窗样式2",,,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
消息通知弹窗,notification_openbuttom_click,消息通知弹窗_通知开启按钮_点击,消息通知开启引导弹窗，点击开启通知按钮时上报,​common key,公共属性,,,17.9,是,,,,,,,,
,,,,type,弹窗类型,string,"feedflow：弹窗样式1
authorfollow：弹窗样式2",,,,,,,,,,
,,,,,,,,,,,,,,,,,
单条内容,content_item_request_client,信息流_客户端发起内容请求,"客户端每次发起请求时上报，请求一次，上报一次；
在要闻频道、推荐频道、图文详情页、小视频沉浸式、短视频详情页、首页的原生垂类频道（视频、小视频、热榜、娱乐等)、小视频沉浸态包括短小融合这几个场景上报",common key,公共属性,,,,,,,,,,,,
单条内容_视频类特殊操作,content_item_lag_loading,信息流_单条内容_卡顿加载,视频播放过程出现卡顿时上报，同一视频多次卡顿多次上报。,common key,公共属性,,,,18.9,,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,"scene
","视频播放场景
",string,"场景：
flow：信息流
videoTab：视频
tabdetailSlide：详情页上滑
inflow：流内
push：push
other: 其他场景",,,,,,,,,,
,,,,page,页面,string,,,,,,,,,,,
,,,,channel,频道,string,,,,,,,,,,,
,,,,item_docid,文章id,string,,,,,,,,,,,
,,,,item_type,文章类型,string,,,,,,,,,,,
,,,,item_alg_source,内容算法来源,string,,,,,,,,,,,
